Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
"ALVERINA, Citrato de / SIMETICONA",Cápsula,60 mg / 300 mg,IV,METEOSPASMYL,046M2002 SSA,LABORATOIRES MAYOLY SPINDLER-CHATOU,"Anticolinérgico, antiespasmódico, antiflatulento, síndrome de intestino irritable."
"AMANTADINA, Clorhidrato de / CLORFENAMINA, Maleato de / PARACETAMOL",Jarabe,"0.5 g / 0.02 g / 3 g /
100 mL",V,ANTIFLU-DES JR,380M98 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"AMANTADINA, Clorhidrato de / CLORFENAMINA, Maleato de/ PARACETAMOL",Cápsula,"50 mg / 3 mg /
300 mg",V,ANTIFLU-DES,77471 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
"AMANTADINA, Clorhidrato de / CLORFENAMINA, Maleato de/ PARACETAMOL",Solución,"2.5 g / 0.1 g / 15 g /
100 mL",V,ANTIFLU-DES PEDIÁTRICO,85665 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común
"AMANTADINA, Sulfato de",Tableta,100 mg,IV,PK-MERZ,027M2002 SSA,MERZ PHARMA GMBH & CO. KGAA.,Antiparkinsoniano
"AMANTADINA, Sulfato de",Solución (Inyectable),40 mg / 100 mL,IV,PK-MERZ,260M2002 SSA,MERZ PHARMA GMBH & CO. KGAA.,Antiparkinsoniano.
AMBRISENTÁN,Tableta,5 mg  y  10 mg,IV,VOLEBRIS,117M2013 SSA,"GLAXO WELLCOME, S.A.",Para el tratamiento de la hipertensión arterial pulmonar idiopática clase funcional II-III.
"AMBROXOL, Clorhidrato de",Solución,"300 mg / 100 mL,
600 mg / 100 mL   y
750 mg / 100 mL",VI,MUCOSOLVAN,005M83 SSA,"DINAFARMA, S.A. DE C.V.",Auxiliar en la expectoración de las flemas.
"AMBROXOL, Clorhidrato de",Pastilla,20 mg,VI,MUCOANGIN,092M2003 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Auxiliar en el alivio del dolor de la garganta irritada.
"AMBROXOL, Clorhidrato de",Tableta,30 mg,VI,MUCOSOLVAN,100M83 SSA,"DINAFARMA, S.A. DE C.V.",Auxiliar en la expectoración de las flemas.
"AMBROXOL, Clorhidrato de",Solución (Inyectable),15 mg / 2 mL,IV,MUCOSOLVAN,101M83 SSA,"DINAFARMA, S.A. DE C.V.",Mucolítico.
"AMBROXOL, Clorhidrato de / DEXTROMETORFANO,
Bromhidrato de",Cápsula,22.5 mg / 22.5 mg,VI,HISTIACIL NF,563M2001 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.","Auxiliar en la expectoración de las flemas, Antitusivo."
"AMBROXOL, Clorhidrato de / DEXTROMETORFANO,
Bromhidrato de",Jarabe,"(225 mg / 225 mg) /
100 mL
y
(150 mg / 113 mg) /
100 mL",VI,HISTIACIL NF,38889NF SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Auxiliar en la expectoración de las flemas. Antitusivo.
"AMBROXOL, Clorhidrato de / CLARITROMICINA",Tableta,45 mg / 500 mg,IV,REZPLEN,531M2003 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Antimicrobiano para infecciones ocasionadas por gérmenes sensibles. Mucolítico.
"AMBROXOL, Clorhidrato de / CLARITROMICINA",Suspensión,15 mg/250 mg/5 mL,IV,REZPLEN,616M2004 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.","Antibiótico (macrólido) para infecciones ocasionadas por gérmenes sensibles, mucolítico."
"AMBROXOL, Clorhidrato de / CLENBUTEROL, Clorhidrato de",Solución,750 mg / 500 mcg / 100mL,IV,BROXOL PLUS,090M91 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.","Broncodilatador, mucolítico."
"AMBROXOL, Clorhidrato de / CLENBUTEROL, Clorhidrato de",Solución,"150 mg / 0.1 mg /
100 mL",IV,MUCOSOLVAN COMPOSITUM,092M88 SSA,"DINAFARMA, S.A. DE C.V.","Broncodilatador, mucolítico."
"AMBROXOL, Clorhidrato de / DEXTROMETORFANO,
Bromhidrato de",Tableta,22.5 mg / 22.5 mg,VI,HISTIACIL NF,574M99 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Auxiliar en la expectoración de las flemas. Antitusivo.
"AMBROXOL, Clorhidrato de / LORATADINA",Solución,"600 mg / 100 mL /
100mL",VI,CORICIDIN EXPEC,57015 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Auxiliar en la expectoración de las flemas, auxiliar en el tratamiento sintomático del resfriado común."
"AMBROXOL, Clorhidrato de / LORATADINA",Tableta,30 mg / 5 mg,VI,CORICIDIN EXPEC,031M2001 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Auxiliar en la expectoración de las flemas. Auxiliar en el tratamiento sintomático del resfriado común.
"AMBROXOL, Clorhidrato de / SULFAMETOXAZOL / TRIMETOPRIMA",Tableta,"30 mg / 800 mg /
160 mg",IV,BROGAMAX,401M2004 SSA,"FARMACÉUTICOS RAYERE, S.A.","Antimicrobiano (sulfa) para tratamiento de infecciones ocasionadas por gérmenes sensibles, mucolítico."
"AMBROXOL, Clorhidrato de / SALBUTAMOL, Sulfato de",Solución,"0.15 g / 0.04 g /
100 mL",IV,AEROFLUX,408M96 SSA,"GRIMANN, S.A. DE C.V.","Broncodilatador, mucolítico. Bronquitis agudas y crónicas. Asma y en general en aquellos procesos agudos y crónicos que cursen con retención de secreciones y broncoespasmo."
"AMBROXOL, Clorhidrato de / SULFAMETOXAZOL / TRIMETOPRIMA",Suspensión,(0.150 g/4 g/0.800 g) / 100 mL,IV,BROGAMAX,010M2004 SSA,"FARMACÉUTICOS RAYERE, S.A.","Antimicrobiano (sulfa) para tratamiento de infecciones ocasionadas por gérmenes sensibles, mucolítico."
AMFOTERICINA B,Solución (Inyectable),50 mg,IV,AMBISOME,050M2014 SSA,"ESPECÍFICOS STENDHAL, S.A. DE C.V.",Antimicótico.
"AMINOFENAZONA / BUFENINA,
Clorhidrato de /  DIFENILPIRALINA, Clorhidrato de",Cápsula,"40 mg /1.5 mg /
1.5 mg",IV,FLUMIL,82442 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.","Antihistamínico, analgésico y descongestivo nasal."
AMINOFILINA,Solución (Inyectable),250 mg / 10 mL,IV,DRAFILYN-Z,0151M81 SSA,"LABORATORIOS ZAFIRO, S.A. DE C.V.",Broncodilatador.
"AMIODARONA, Clorhidrato de",Tableta,200 mg,IV,CORDARONE,148M81 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Antiarrítmico.
"AMIODARONA, Clorhidrato de",Solución (Inyectable),150 mg / 3 mL,IV,CORDARONE,276M81 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Tratamiento de las arritmias ventriculares.
AMISULPRIDA,Tableta,200 mg  y  400 mg,IV,SOLIAN,580M2000 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Tratamiento de la esquizofrenia.
"AMITRIPTILINA, Clorhidrato de / DIAZEPAM / PERFENAZINA",Tableta,10 mg / 3 mg / 2 mg,II,ADEPSIQUE,85689 SSA,"PSICOFARMA, S.A. DE C.V.","Antidepresivo, ansiolítico."
"AMLODIPINO, Besilato de",Tableta,5 mg  y  10 mg,IV,NORVAS,108M90 SSA,"PFIZER, S.A. DE C.V.","Tratamiento de la hipertensión arterial, enfermedad arterial coronaria, angina estable crónica."
"AMLODIPINO, Maleato de",Tableta,5 mg y 10 mg,IV,AMTEV,385M2005 SSA,"LEMERY, S.A. DE C.V.",Antihipertensivo (calcioantagonista).
"AMLODIPINO, Besilato de / LOSARTAN Potásico",Cápsula,"2.5 mg / 50 mg  y
5 mg / 100 mg",IV,BICARTIAL,071M2009 SSA,"LABORATORIOS SILANES, S.A. DE C.V.",Antihipertensivo.
"AMLODIPINO, Camsilato de / LOSARTÁN Potásico",Comprimido,"5 mg / 50 mg   y
5 mg / 100 mg",IV,COZAAR XQ,237M2013 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Antihipertensivo.
"AMLODIPINO, Besilato de / ATORVASTATINA Cálcica",Tableta,"5 mg / 10 mg;
5 mg / 20 mg;
5 mg / 40 mg    y
5 mg / 80 mg;",IV,CADUET,204M2004 SSA,"PFIZER, S.A. DE C.V.",Antihipertensivo. Dislipidemia.
AMLOPIDINO / VALSARTAN / HIDROCLOROTIAZIDA,Comprimido,"5 mg/ 160 mg/ 12.5 mg; 10 mg/160 mg/12.5 mg; 5 mg/160 mg/25 mg;  10 mg/160 mg/25 mg
y
10 mg/320 mg/25 mg",IV,EXFORGE HCT,200M2009 SSA,NOVARTIS PHARMA AG,Antihipertensivo.
"AMLOPIDINO, Besilato de / VALSARTAN",Comprimido,"5 mg / 80 mg;
5 mg / 160 mg;
5 mg / 320 mg;
10 mg / 160 mg y
10 mg / 320 mg",IV,EXFORGE,159M2007 SSA,NOVARTIS PHARMA AG,Antihipertensivo.
"AMLOTRIPTÁN, Malato ácido de",Comprimido,12.5 mg,IV,ALMOGRAN,293M2003 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Antimigrañoso.
AMOXICILINA (trihidratada),Tableta,875 mg,IV,AMOXIL 12H,133M99 SSA,"GLAXO WELLCOME, S.A.",Antibiótico para infecciones ocasionadas por gérmenes susceptibles.
AMOXICILINA (trihidratada),Suspensión,400 mg / 5 mL,IV,AMOXIL 12H,208M99 SSA,"GLAXO WELLCOME, S.A.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
AMOXICILINA (trihidratada),Suspensión,"250 mg / 5 mL  y
500 mg / 5 mL",IV,PENAMOX,78554 SSA,"DINAFARMA, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
AMOXICILINA (trihidratada),Suspensión,400 mg / 5 mL,IV,PENAMOX H12,166M99 SSA,"DINAFARMA, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
AMOXICILINA (trihidratada),Tableta,1 g,IV,PENAMOX,0127M79 SSA,"DINAFARMA, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones causadas por gérmenes sensibles.
AMOXICILINA (trihidratada),Cápsula,500 mg,IV,PENAMOX,78552 SSA,"DINAFARMA, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
AMOXICILINA (trihidratada),Comprimido,750 mg,IV,AMPLIRON,246M97 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
AMOXICILINA (trihidratada) / pivoxil SULBACTAM,Comprimido,875 mg / 125 mg,IV,TRIFAMOX IBL 12H,296M2001 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
AMOXICILINA (trihidratada) / pivoxil SULBACTAM,Suspensión,"200 mg / 50 mg /
1 mL",IV,TRIFAMOX IBL 12H,383M2001 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
AMOXICILINA (Trihidratada) / ÁCIDO CLAVULANICO (Clavulanato de Potasio),Tableta,875 mg / 125 mg,IV,CLAVULIN 12 H,066M98 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
AMOXICILINA (Trihidratada) / ÁCIDO CLAVULANICO (Clavulanato de Potasio),Suspensión,"(200 mg / 28.5 mg)/5 mL y
(400 mg / 57 mg) / 5 mL",IV,CLAVULIN 12 H,215M98 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
AMOXICILINA (trihidratada) / PIVOXIL SULBACTAM,Suspensión,(125 mg / 125 mg) / 5mL   y (250 mg / 250 mg)/ 5 mL,IV,TRIFAMOX IBL,339M99 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
AMOXICILINA (trihidratada) / ÁCIDO CLAVULANICO (Clavulanato de Potasio-Syloid),Suspensión,"600 mg / 42.9 mg /
5 mL",IV,CLAVULIN 12 H,065M2006 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
AMOXICILINA (trihidratada) / ÁCIDO CLAVULÁNICO (Clavulanato de Potasio),Suspensión,"250 mg/62.5 mg/5mL y
125 mg/31.25 mg/5 mL",IV,CLAVULIN,294M90 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
AMOXICILINA (trihidratada) / PIVOXIL SULBACTAM,Comprimido,"250 mg / 250 mg    y
500 mg / 500 mg",IV,TRIFAMOX IBL,174M98 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
"AMOXICILINA (trihidratada) / BROMHEXINA, Clorhidrato de",Suspensión,"250 mg / 8 mg / 5 mL;
500 mg / 8 mg / 5 mL",IV,PENAMOX M,89407 SSA,"DINAFARMA, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles. Mucolítico.
"AMOXICILINA (trihidratada) / BROMHEXINA, Clorhidrato de",Cápsula,500 mg / 8 mg,IV,PENAMOX M,89408 SSA,"DINAFARMA, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles. Mucolítico.
AMOXICILINA Sódica / SULBACTAM Sódico,Solución (Inyectable),"(500 mg / 250 mg) / 5mL y
(1000 mg / 500 mg) / 5mL",IV,TRIFAMOX IBL,328M99 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
AMPICILINA (trihidratada),Cápsula,250 mg  y  500 mg,IV,PENBRITIN,57827 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico (betalactámico).
AMPICILINA (trihidratada),Suspensión,"125 mg / 5 mL, 250 mg / 5mL y 500 mg / 5 mL",IV,PENBRITIN,58996 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
AMPICILINA (trihidratada) / DICLOXACILINA sódica (monohidratada),Cápsula,250 mg / 125 mg,IV,PANAC,74997 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
ANASTROZOL,Tableta,1 mg,IV,ARIMIDEX,263M98 SSA,ASTRAZENECA UK LIMITED,"Antineoplásico, para el tratamiento del cáncer de mama."
ANFEBUTAMONA,Tableta (Liberación prolongada),150 mg,IV,WELLBUTRIN,354M98 SSA,"GLAXO WELLCOME, S.A.",Antidepresivo.
"ANFEPRAMONA, Clorhidrato de",Tableta,50 mg,III,IFA NOREX,177M92 SSA,"INVESTIGACIÓN FARMACÉUTICA, S.A. DE C.V.",Anorexigénico.
"ANFEPRAMONA, clorhidrato de",Cápsula (Liberación prolongada),75 mg,III,NEOBES,60975 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Anorexigénico.
ANFOTERICINA B,Suspensión (Inyectable),5 mg / mL,IV,ABELCET,218M2000 SSA,"LEMERY, S.A. DE C.V.",Antimicótico.
ANIDULAFUNGINA,Solución (Inyectable),100 mg,IV,EQUALTHA,022M2009 SSA,"PFIZER, S.A. DE C.V.","Tratamiento de la candidiasis invasora, incluyendo candidemia en pacientes adultos. Tratamiento de candidiasis esofágica en pacientes adultos."
APIXABÁN,Tableta,5 mg  y  25 mg,IV,ELICUIS,044M2013 SSA,"PFIZER, S.A. DE C.V.",Prevención primaria de enfermedad tromboembólica venosa.Prerención primaria de eventos vasculares cerebrales en pacientes con fibrilación auricular no valvular. Tratamiento de trombosis venosa profunda (TVP) y embolismo pulmonar (EP) en adultos. Prevención de la TVP y el EP recurrentes en adultos.
APREPITANT,Cápsula,80 mg  y  125 mg,IV,EMEND,130M2003 SSA,MERCK SHARP & DOHME B.V.,"Para el tratamiento de la náusea y vómito postoperatorio.
Antiemético en quimioterapia y radioterapia."
ARMODAFINILO,Tableta,150 mg y 250 mg,IV,NUVIGIL,490M2015 SSA,"REPRESENTACIONES E INVESTIGACIONES MÉDICAS, S.A. DE C.V.","Neuroestimulante para el tratamiento de somnolencia diurna excesiva, hipersomnia idiopática."
ATENOLOL,Tableta,50 mg  y  100 mg,IV,TENORMIN,88870 SSA,"LABORATORIOS QUIMPHARMA,
S.A. DE C.V.","Indicado para el tratamiento de la hipertensión arterial, angina de pecho, arritmias cardiacas, infarto agudo al micocardio (Intervención a largo plazo de la recuperación)."
ATENOLOL / CLORTALIDONA,Tableta,50 mg/12.5 mg    y 100 mg/25 mg,IV,TENORETIC,0202M80 SSA,"LABORATORIOS QUIMPHARMA,
S.A. DE C.V.",Antihipertensivo.
ATENOLOL / NIFEDIPINO,Cápsula (Liberación prolongada),50 mg / 20 mg,IV,PLANACOR LP,380M93 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antihipertensivo
"ATORVASTATINA, cálcica (trihidratada)",Tableta,"10 mg, 20 mg, 40 mg
y     80 mg",IV,LIPITOR,413M97 SSA,"PFIZER, S.A. DE C.V.",Hipocolesterolemiante.
ATOSIBAN,Solución (Inyectable),"6.75 mg / 0.9 mL  y
37.5 mg / 5 mL",IV,TRACTOCILE,549M2001 SSA,FERRING GMBH,Inhibidor de la contractilidad uterina.
AZACITIDINA,Suspensión (Inyectable),100 mg (25 mg / mL),IV,VIDAZA,046M2013 SSA,CELGENE INTERNATIONAL SARL,"Tratamiento de pacientes con síndromes mielodisplásicos intermedios y de alto riesgo, y leucemia mieloide aguda."
"AZELASTINA, Clorhidrato de",Solución,1 mg / 1 mL,IV,ASTELIN,338M95 SSA,MADAUS GMBH,Rinitis alérgica estacional y perenne.
AZELASTINA / FLUTICASONA,Suspensión (Para inhalación),0.100% / 0.037%,IV,DYMISTA D,056M2015 SSA,MADAUS GMBH,Alivio sintomático de la rinitis alérgica estacional de moderada a grave en pacientes mayores de 6 años que requieren tratamiento combinado.
AZITROMICINA (dihidratada),Tableta,500 mg,IV,AZITROCIN,275M91 SSA,"PFIZER, S.A. DE C.V.",Antibiótico (macrólido) para infecciones ocasionadas por gérmenes sensibles.
AZITROMICINA (dihidratada),Polvo,600 mg  y  900 mg,IV,AZITROCIN,266M91 SSA,"PFIZER, S.A. DE C.V.",Antibiótico (macrólido) para infecciones ocasionadas por gérmenes sensibles.
BAZEDOXIFENO / ESTRÓGENOS CONJUGADOS,Tableta,"20 mg / 0.450 mg    y
20 mg / 0.625 mg",IV,DUAVIVE,158M2017 SSA,"PFIZER, S.A. DE C.V.","Tratamiento para síntomas vasomotores moderados a severos asociados con la menopausia, síntomas de deficiencia de estrógeno asociados con la menopausia, síntomas moderados a severos de atrofia  vulvar y vaginal, asociados con la menopausia. Prevención de osteoporosis posmenopáusica. En pacientes en los que no está contraindicada la terapia hormonal sustitutiva."
"BECLOMETASONA, Diprionato de (Micronizada)",Suspensión,50 mg / 100 mL,IV,BECONASE AQUA,079M90 SSA,"GLAXO WELLCOME, S.A.","Rinitis alérgica estacional y perenne, Antiinflamatorio esteroideo."
"BECLOMETASONA, Dipropionato de / FORMOTEROL, Fumarato de",Aerosol (Para inhalación),"100 mcg / 6 mcg   y
200 mcg / 6 mcg",IV,INNOVAIR,295M2011 SSA,CHIESI FARMACEUTICI S.P.A.,"Innovair 100 mcg / 6 mcg  y  200 mcg / 6 mcg. Indicado para el tratamiento habitual del asma. Innovair 100 mcg / 6 mcg.
Enfermedad Pulmonar Obstructiva Crónica."
"BENCIDAMINA, Clorhidrato de",Pasta,0.5 g / 100 g,VI,VANTAL,101M94 SSA,"LABORATORIOS GROSSMAN, S.A.","Indicado en procesos inflamatorios de las encías tales como gingivitis, periodontitis, pericoronitis e inflamación por cirugía dental, prótesis dentales mal adaptadas, ortodoncia y exodoncia. Ayuda a la eliminación de placa dentobacteriana.
Previene y trata la mucositis orofaríngea inducida por quimioterapia y radiación."
"BENCIDAMINA, Clorhidrato de",Gel,5 g / 100 g,VI,VANTAL,102M87 SSA,"LABORATORIOS GROSSMAN, S.A.",Antiinflamatorio no esteroideo de aplicación cutánea.
"BENCIDAMINA, Clorhidrato de",Solución,5 g / 100 mL,IV,VANTAL-V,321M80 SSA,"LABORATORIOS GROSSMAN, S.A.","Antiséptico, Antiinflamatorio no esteroideo."
"BENCIDAMINA, Clorhidrato de",Solución,0.150 g / 100 mL,VI,LONOL,184M89 SSA,"GRIMANN, S.A. DE C.V.",Auxiliar en la inflamación y dolor en cavidad orofaríngea.
"BENCIDAMINA, Clorhidrato de",Crema,5 g / 100 g,VI,LONOL,88441 SSA,"GRIMANN, S.A. DE C.V.",Analgésico. Antiinflamatorio con acción analgésica.
"BENCIDAMINA, Clorhidrato de / MENTOL / SALICITATO DE METILO",Gel,(5 g / 10 g / 3 g) / 100 g,VI,LONOL SPORT,494M97 SSA,"GRIMANN, S.A. DE C.V.","Analgésico, antiinflamatorio no esteroideo, relajante muscular."
BENCILPENICILINA PROCAINA / BENCILPENICILINA SÓDICA CRISTALINA,Suspensión (inyectable),"(300 000 U / 100 000 U) /
2 mL y
(600 000 U / 200 000 U) /
2 mL",IV,HIDROCILINA,34455 SSA,"LABORATORIOS GROSSMAN, S.A.",Antibiótico para infecciones ocasionadas por bacterias susceptibles.
BENCILPENICILINA PROCAINICA CON BENCILPENICILINA SÓDICA,Suspensión (inyectable),"400 000 U y
800 000 U",IV,PENPROCILINA,34564 SSA,"SERRAL, S.A. DE C.V.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
BENCILPENICILINA PROCAINICA/ BENCILPENICILINA SÓDICA / METAMIZOL SÓDICO MONOHIDRATADO,Suspensión (inyectable),"(300 000 UI / 100 000 UI /
500 mg) / 2 mL y
(225 000 UI/ 75 000 UI /
200 mg) / 2 mL",IV,RESPICIL,41953 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Antibiótico (Betalactámico).
BENCILPENICILINA SÓDICA / CLEMIZOL BENCILPENICILINA,Suspensión (inyectable),"(100,000 UI / 300,000 UI)
/ 2 mL y
(200,000 UI / 800,000 UI)
/ 3 mL",IV,ANAPENIL,46827 SSA,"LABORATORIOS GROSSMAN, S.A.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
"BENSERAZIDA, Clorhidrato de
/LEVODOPA",Tableta,25 mg / 100 mg,IV,MADOPAR,82544 SSA,F. HOFFMANN - LA ROCHE LTD.,"Para el tratamiento de la enfermedad de Parkinson, para el tratamiento sintomático del síndrome de piernas inquietas (SPI) incluyendo SPI idiopático y SPI debido a insuficiencia renal, requirendo análisis."
BENZOCAINA,Pastilla,10 mg,VI,GRANEODIN-B,40662 SSA,RECKITT BENCKISER HEALTHCARE (UK) LIMITED,Analgésico bucofaríngeo
BENZONATATO,Cápsula,100 mg,VI,TESAPERL,174M2015 SSA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE MÉXICO, S. DE R.L. DE C.V.",Antitusivo.
BESILATO DE CISATRACURIO,Solución (Inyectable),"5 mg / 2.5 mL
10 mg / 5 mL  y
20 mg / 10 mL",IV,NIMBEX,371M97 SSA,ASPEN PHARMA PTY LTD.,Relajante neuromuscular no despolarizante.
"BETAHISTINA, Diclorhidrato de",Tableta,"8 mg, 16 mg
y  24 mg",IV,SERC,75796 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antivertiginoso.
BETAMETASONA,Solución,0.5 mg / 1 mL,IV,CELESTONE PEDIATRICO,62193 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Corticosteroide oral.
BETAMETASONA / CLIOQUINOL,Crema,"0.500 mg / 30 mg  y
50 mg / 3 g",IV,DIPROSONE Y,87824 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Antiinflamatorio tópico.
BETAMETASONA / LORATADINA,Solución,5 mg / 100 mg / 100 mL,IV,CELESTAMINE NS,62357 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Antihistamínico, antiinflamatorio esteroideo."
BETAMETASONA / LORATADINA,Tableta,0.250 mg / 5.00 mg,IV,CELESTAMINE NS,59312 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Antihistamínico, antiinflamatorio esteroideo"
"BETAMETASONA, Acetato de / BETAMETASONA, Fosfato sódico de",Suspensión (inyectable),2.71 mg / 3mg / 1 mL,IV,CELESTONE SOLUSPAN,64063 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Corticosteroide sistémico
"BETAMETASONA, Diprionato de (Micronizada)",Ungüento,0.064 g / 100 g,IV,DIPROSONE,86089 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Antiinflamatorio de aplicación cutánea.
"BETAMETASONA, Dipropionato de / GENTAMICINA, Sulfato de",Crema,0.05 g / 0.1 g /  100 g,IV,DIPROSONE G,87472 SSA,"SCHERING-PLOUGH, S.A. DE C.V.","Antiinflamatorio, antibiótico tópico."
"BETAMETASONA, Dipropionato de
/BETAMETASONA,  Fosfato sódico de",Suspensión (inyectable),5 mg / 2 mg / 1 mL,IV,DIPROSPAN,87216 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Corticosteroide sistémico.
"BETAMETASONA, Fosfato sódico de",Solución (Inyectable),4 mg / 1 mL,IV,CELESTONE,89908 SSA,"SCHERING-PLOUGH, S.A. DE C.V.","Corticosteroide sistémico. Tratamiento de enfermedades reumáticas, del tejido conectivo, alérgicas y otras enfermedades cuando se necesite un efecto corticosteroide."
"BETAMETASONA, Valerato de",Crema,0.1 g / 100 g,IV,BETNOVATE,62329 SSA,"GLAXO WELLCOME, S.A.","Diversas dermatosis, antiinflamatorio tópico liquen plano."
"BETAMETASONA, Valerato de",Suspensión,100 mg / 100 mL,IV,BETNOVATE LOCION,61742 SSA,"GLAXO WELLCOME, S.A.","Diversas dermatosis, antiinflamatorio tópico liquen plano."
"BETAMETASONA, Valerato de",Suspensión,0.094 g / 100 mL,IV,BETNOVATE LOCION CAPILAR,68773 SSA,"GLAXO WELLCOME, S.A.",Dermatosis de la piel cabelluda que responden a corticosteroides.
BICALUTAMIDA,Tableta,50 mg  y  150 mg,IV,CASODEX,071M97 SSA,ASTRAZENECA UK LIMITED,Para el tratamiento de cáncer de próstata.
"BICARBONATO POTÁSICO /
POTASIO, Cloruro de / LISINA, Clorhidrato de Lisina",Tableta (Efervescente),"500.56 mg / 372.75 mg /
913.02 mg",IV,CORPOTASIN CL,71024 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Tratamiento de la hipopotasemia y alcalosis hipoclorémica.
BIFONAZOL,Crema,1 g / 100 g,VI,LOTRIMIN-UNO,496M89 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Micosis de la piel producidas por dermatofitos, levadudras, mohos y otros hongos como Malassezia furtur."
